GRA L-2R-Bphe                      [H]c1c([H])c([H])c(C([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H]
GOH L-2R-Bpro                      [H]N(C(=O)[C@@]1([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H]
GRB L-2R-Btrp                      [H]C1=C(C([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H])c2c([H])c([H])c([H])c([H])c2N1[H]
GRC L-2R-Btyr                      [H]Oc1c([H])c([H])c(C([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H])c([H])c1[H]
GOI L-2R-Bval                      [H]N(C(=O)[C@@]([H])(C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
GJE L-2S3R-Bthr                    [H]O[C@]([H])(C([H])([H])[H])[C@@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H]
GJF L-2S-Bser                      [H]OC([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H]
GJG L-3R4R-Bthr                    [H]O[C@]([H])(C([H])([H])[H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H]
GOJ L-3R4S-Bile                    [H]N(C(=O)C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H]
GVC L-3R-Basp                      [H]N(C(=O)C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)[O-])C([H])([H])[H]
GAC L-3R-Bcys                      [H]SC([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H]
GAD L-3R-Bmet                      [H]N(C(=O)C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])SC([H])([H])[H])C([H])([H])[H]
GJH L-3R-Bser                      [H]OC([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H]
GOK L-3R-Bval                      [H]N(C(=O)C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
GAE L-3R-furylMap-Bgly             [H]C([H])=C(C(=O)N([H])C([H])([H])[H])[C@]([H])(C1=C([H])C([H])=C([H])O1)N([H])C(=O)C([H])([H])[H]
GOL L-3S-Bala                      [H]N(C(=O)C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
GUC L-3S-Barg                      [H]N([H])C(N([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H])=[N+]([H])[H]
GJI L-3S-Basn                      [H]N([H])C(=O)C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H]
GJJ L-3S-Bgln                      [H]N([H])C(=O)C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H]
GVD L-3S-Bglu                      [H]N(C(=O)C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C(=O)[O-])C([H])([H])[H]
GSB L-3S-Bhis                      [H]C1=NC(C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H])=C([H])N1[H]
GOM L-3S-Bleu                      [H]N(C(=O)C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
GUD L-3S-Blys                      [H]N(C(=O)C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])C([H])([H])[H]
GRD L-3S-Bphe                      [H]c1c([H])c([H])c(C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H])c([H])c1[H]
GON L-3S-Bpro                      [H]N(C(=O)C([H])([H])[C@@]1([H])N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H]
GRE L-3S-Btrp                      [H]C1=C(C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H])c2c([H])c([H])c([H])c([H])c2N1[H]
GRF L-3S-Btyr                      [H]Oc1c([H])c([H])c(C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H])c([H])c1[H]
UOA A-0-Ggaba                      [H]N(C(=O)C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
UOB A-3pentin-Ggaba                [H]N(C(=O)C([H])([H])C1(C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H]
UOC A-CACA-Ggaba                   [H]C(C(=O)N([H])C([H])([H])[H])=C([H])C([H])([H])N([H])C(=O)C([H])([H])[H]
POA D-1S2R-BAMP-Ggaba              [H]N(C(=O)[C@@]1([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
POB D-1S2R-CAMP-Ggaba              [H]N(C(=O)[C@@]1([H])C([H])([H])[C@@]1([H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
POC D-1S2R-HAMP-Ggaba              [H]N(C(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
POD D-1S2R-PAMP-Ggaba              [H]N(C(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])N([H])C(=O)C([H])([H])[H])C([H])([H])[H]
POE D-1S2S5R-CACP-Ggaba            [H]N(C(=O)[C@@]1([H])C([H])([H])C([H])([H])[C@@]2(N([H])C(=O)C([H])([H])[H])C([H])([H])[C@]21[H])C([H])([H])[H]
POF D-1S3R-CACP-Ggaba              [H]N(C(=O)[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C1([H])[H])C([H])([H])[H]
POG D-1S3R-ECPECA-Ggaba            [H]C([H])=C1C([H])([H])[C@]([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])[C@]1([H])N([H])C(=O)C([H])([H])[H]
POH D-1S3R-HACP-Ggaba              [H]N(C(=O)[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C1([H])[H])C([H])([H])[H]
POI D-1S3S-TACP-Ggaba              [H]N(C(=O)[C@@]1([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C1([H])[H])C([H])([H])[H]
